"","state","numcol","yieldpercol","totalprod","stocks","priceperlb","prodvalue","year","yieldpercol_kg","price_per_kg","totalprod_kg","StateName","Region","FIPS","nCLOTHIANIDIN","nIMIDACLOPRID","nTHIAMETHOXAM","nACETAMIPRID","nTHIACLOPRID","nAllNeonic","nAllNeonic_kg"
"817","HI",8000,155,1240000,62000,0.81,1004000,1996,70.3068263383378,1.7857440954,562454.610706703,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"818","HI",9000,138,1242000,460000,0.54,671000,1992,62.5957550625201,1.1904960636,563361.795562681,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"819","HI",9000,146,1314000,158000,0.86,1130000,1997,66.2244944864343,1.8959752124,596020.450377909,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"820","HI",9000,177,1593000,1020000,0.52,828000,1993,80.2858597541019,1.1464036168,722572.737786917,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"821","HI",10000,131,1310000,328000,0.57,747000,1991,59.4206080665952,1.2566347338,594206.080665952,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"822","HI",11000,100,1100000,429000,0.48,528000,1994,45.3592427989276,1.0582187232,498951.670788204,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"823","HI",10000,75,750000,263000,4.15,3113000,2012,34.0194320991957,9.149182711,340194.320991957,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"824","HI",10000,77,770000,239000,2.75,2118000,2010,34.9266169551743,6.062711435,349266.169551743,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"825","HI",10000,90,9e+05,225000,1.59,1431000,2008,40.8233185190349,3.5053495206,408233.185190349,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"826","HI",10000,92,920000,285000,1.7,1564000,2007,41.7305033750134,3.747857978,417305.033750134,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"827","HI",10000,93,930000,233000,1.21,1125000,2006,42.1840958030027,2.6675930314,421840.958030027,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"828","HI",10000,95,950000,323000,1.76,1672000,2009,43.0912806589813,3.8801353184,430912.806589813,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"829","HI",12000,131,1572000,16000,1.51,2374000,2017,59.4206080665952,3.3289797334,713047.296799142,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"830","HI",13000,83,1079000,65000,1.97,2126000,2013,37.6481715231099,4.3431060098,489426.229800429,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"831","HI",14000,102,1428000,71000,1.91,2727000,2015,46.2664276549062,4.2108286694,647729.987168687,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"832","HI",15000,93,1395000,140000,2.29,3195000,2014,42.1840958030027,5.0485851586,632761.437045041,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"833","HI",16000,113,1808000,127000,2.31,4176000,2016,51.2559443627882,5.0926776054,820095.109804612,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"834","HI",7000,112,784000,125000,0.82,643000,2000,50.8023519347989,1.8077903188,355616.463543593,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"835","HI",7000,114,798000,43000,1.45,1157000,2003,51.7095367907775,3.196702393,361966.757535443,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
"836","HI",7000,136,952000,29000,1.11,1057000,2002,61.6885702065416,2.4471307974,431819.991445791,"Hawaii","West",15,NA,NA,NA,NA,NA,NA,NA
